ligand_name	scores
4L6Q_protein_compound1279_out.pdbqt	-9.3
4L6Q_protein_compound127_out.pdbqt	-10.7
4L6Q_protein_compound1280_out.pdbqt	-9.5
4L6Q_protein_compound1281_out.pdbqt	-9.0
4L6Q_protein_compound1282_out.pdbqt	-8.9
4L6Q_protein_compound1283_out.pdbqt	-8.9
4L6Q_protein_compound1284_out.pdbqt	-8.6
4L6Q_protein_compound1285_out.pdbqt	-9.2
4L6Q_protein_compound1286_out.pdbqt	-8.6
4L6Q_protein_compound1287_out.pdbqt	-8.5
4L6Q_protein_compound1288_out.pdbqt	-9.2
4L6Q_protein_compound1289_out.pdbqt	-9.5
4L6Q_protein_compound128_out.pdbqt	-10.5
4L6Q_protein_compound1290_out.pdbqt	-9.7
4L6Q_protein_compound1291_out.pdbqt	-9.1
4L6Q_protein_compound1292_out.pdbqt	-10.1
4L6Q_protein_compound1293_out.pdbqt	-9.7
4L6Q_protein_compound1294_out.pdbqt	-8.8
4L6Q_protein_compound1295_out.pdbqt	-8.7
4L6Q_protein_compound1296_out.pdbqt	-9.5
4L6Q_protein_compound1297_out.pdbqt	-8.8
4L6Q_protein_compound1298_out.pdbqt	-9.3
4L6Q_protein_compound1299_out.pdbqt	-9.9
4L6Q_protein_compound129_out.pdbqt	-10.3
4L6Q_protein_compound12_out.pdbqt	-8.8
4L6Q_protein_compound1300_out.pdbqt	-9.3
4L6Q_protein_compound1301_out.pdbqt	-9.5
4L6Q_protein_compound1302_out.pdbqt	-9.2
4L6Q_protein_compound1303_out.pdbqt	-9.6
4L6Q_protein_compound1304_out.pdbqt	-10.6
4L6Q_protein_compound1305_out.pdbqt	-10.3
4L6Q_protein_compound1306_out.pdbqt	-10.0
4L6Q_protein_compound1307_out.pdbqt	-8.6
4L6Q_protein_compound1308_out.pdbqt	-9.1
4L6Q_protein_compound1309_out.pdbqt	-8.1
4L6Q_protein_compound130_out.pdbqt	-10.5
4L6Q_protein_compound1310_out.pdbqt	-9.1
4L6Q_protein_compound1311_out.pdbqt	-9.2
4L6Q_protein_compound1312_out.pdbqt	-8.9
4L6Q_protein_compound1313_out.pdbqt	-9.4
4L6Q_protein_compound1314_out.pdbqt	-8.5
4L6Q_protein_compound1315_out.pdbqt	-9.7
4L6Q_protein_compound1316_out.pdbqt	-8.8
4L6Q_protein_compound1317_out.pdbqt	-9.4
4L6Q_protein_compound1318_out.pdbqt	-8.5
4L6Q_protein_compound1319_out.pdbqt	-9.1
4L6Q_protein_compound131_out.pdbqt	-10.4
4L6Q_protein_compound1320_out.pdbqt	-9.4
4L6Q_protein_compound1321_out.pdbqt	-9.5
4L6Q_protein_compound1322_out.pdbqt	-8.9
4L6Q_protein_compound1323_out.pdbqt	-9.1
4L6Q_protein_compound1324_out.pdbqt	-8.8
4L6Q_protein_compound1325_out.pdbqt	-9.8
4L6Q_protein_compound1326_out.pdbqt	-8.8
4L6Q_protein_compound1327_out.pdbqt	-8.7
4L6Q_protein_compound1328_out.pdbqt	-8.8
4L6Q_protein_compound1329_out.pdbqt	-9.6
4L6Q_protein_compound132_out.pdbqt	-9.7
