ligand_name	scores
mol10208_config_out1.pdbqt	-6.6
mol10209_config_out1.pdbqt	-8.4
mol1020_config_out1.pdbqt	-6.7
mol10210_config_out1.pdbqt	-9.9
mol10211_config_out1.pdbqt	-11.3
mol10212_config_out1.pdbqt	-9.7
mol10213_config_out1.pdbqt	-10.0
mol10214_config_out1.pdbqt	-11.0
mol10215_config_out1.pdbqt	-7.8
mol10216_config_out1.pdbqt	-9.9
mol10217_config_out1.pdbqt	-10.2
mol10218_config_out1.pdbqt	-8.4
mol10219_config_out1.pdbqt	-11.4
mol1021_config_out1.pdbqt	-10.8
mol10220_config_out1.pdbqt	-8.4
mol10221_config_out1.pdbqt	-10.2
mol10222_config_out1.pdbqt	-11.4
mol10223_config_out1.pdbqt	-8.0
mol10224_config_out1.pdbqt	-11.1
mol10225_config_out1.pdbqt	-9.5
mol10226_config_out1.pdbqt	-9.1
mol10227_config_out1.pdbqt	-11.5
mol10228_config_out1.pdbqt	-8.1
mol10229_config_out1.pdbqt	-8.8
mol1022_config_out1.pdbqt	-7.5
mol10230_config_out1.pdbqt	-11.0
mol10231_config_out1.pdbqt	-9.6
mol10232_config_out1.pdbqt	-10.3
mol10233_config_out1.pdbqt	-9.9
mol10234_config_out1.pdbqt	-7.6
mol10235_config_out1.pdbqt	-8.8
mol10236_config_out1.pdbqt	-10.4
mol10237_config_out1.pdbqt	-7.3
mol10238_config_out1.pdbqt	-9.7
mol10239_config_out1.pdbqt	-10.1
mol1023_config_out1.pdbqt	-7.2
mol10240_config_out1.pdbqt	-8.1
mol10241_config_out1.pdbqt	-6.1
mol10242_config_out1.pdbqt	-8.4
mol10243_config_out1.pdbqt	-8.0
mol10244_config_out1.pdbqt	-10.0
mol10245_config_out1.pdbqt	-9.1
mol10246_config_out1.pdbqt	-9.8
mol10247_config_out1.pdbqt	-8.9
mol10248_config_out1.pdbqt	-9.6
mol10249_config_out1.pdbqt	-8.7
mol1024_config_out1.pdbqt	-9.5
mol10250_config_out1.pdbqt	-10.0
mol10251_config_out1.pdbqt	-9.2
mol10252_config_out1.pdbqt	-11.0
mol10253_config_out1.pdbqt	-9.0
mol10254_config_out1.pdbqt	-10.6
mol10255_config_out1.pdbqt	-8.8
mol10256_config_out1.pdbqt	-8.9
mol10257_config_out1.pdbqt	-9.5
mol10258_config_out1.pdbqt	-9.6
mol10259_config_out1.pdbqt	-8.9
mol1025_config_out1.pdbqt	-8.0
mol10260_config_out1.pdbqt	-10.4
mol10261_config_out1.pdbqt	-9.4
mol10262_config_out1.pdbqt	-7.9
mol10263_config_out1.pdbqt	-10.4
mol10264_config_out1.pdbqt	-8.6
mol10265_config_out1.pdbqt	-9.7
mol10266_config_out1.pdbqt	-9.5
mol10267_config_out1.pdbqt	-8.0
mol10268_config_out1.pdbqt	-8.2
mol10269_config_out1.pdbqt	-10.0
mol1026_config_out1.pdbqt	-9.9
mol10270_config_out1.pdbqt	-9.1
mol10271_config_out1.pdbqt	-9.3
mol10272_config_out1.pdbqt	-8.1
mol10273_config_out1.pdbqt	-9.7
mol10274_config_out1.pdbqt	-10.0
mol10275_config_out1.pdbqt	-8.9
mol10276_config_out1.pdbqt	-10.5
mol10277_config_out1.pdbqt	-9.9
mol10278_config_out1.pdbqt	-8.0
mol10279_config_out1.pdbqt	-8.3
mol1027_config_out1.pdbqt	-9.6
mol10280_config_out1.pdbqt	-6.3
mol10281_config_out1.pdbqt	-8.6
mol10282_config_out1.pdbqt	-9.4
mol10283_config_out1.pdbqt	-8.8
mol10284_config_out1.pdbqt	-6.9
mol10285_config_out1.pdbqt	-8.7
mol10286_config_out1.pdbqt	-8.7
mol10287_config_out1.pdbqt	-9.2
mol10288_config_out1.pdbqt	-10.3
mol10289_config_out1.pdbqt	-9.1
mol1028_config_out1.pdbqt	-7.5
mol10290_config_out1.pdbqt	-9.4
mol10291_config_out1.pdbqt	-8.3
mol10292_config_out1.pdbqt	-10.5
mol10293_config_out1.pdbqt	-10.3
mol10294_config_out1.pdbqt	-8.6
mol10295_config_out1.pdbqt	-11.1
mol10296_config_out1.pdbqt	-8.1
mol10297_config_out1.pdbqt	-8.3
mol10298_config_out1.pdbqt	-11.2
mol10299_config_out1.pdbqt	-8.0
mol1029_config_out1.pdbqt	-8.8
mol102_config_out1.pdbqt	-8.7
mol10300_config_out1.pdbqt	-8.4
mol10301_config_out1.pdbqt	-9.5
mol10302_config_out1.pdbqt	-8.5
mol10303_config_out1.pdbqt	-9.1
mol10304_config_out1.pdbqt	-9.5
mol10305_config_out1.pdbqt	-8.7
mol10306_config_out1.pdbqt	-9.7
mol10307_config_out1.pdbqt	-8.6
mol10308_config_out1.pdbqt	-9.7
mol10309_config_out1.pdbqt	-7.7
mol1030_config_out1.pdbqt	-9.8
mol10310_config_out1.pdbqt	-10.0
mol10311_config_out1.pdbqt	-8.9
mol10312_config_out1.pdbqt	-8.1
mol10313_config_out1.pdbqt	-8.7
mol10314_config_out1.pdbqt	-9.7
mol10315_config_out1.pdbqt	-10.8
mol10316_config_out1.pdbqt	-11.5
mol10317_config_out1.pdbqt	-7.7
mol10318_config_out1.pdbqt	-10.1
mol10319_config_out1.pdbqt	-5.6
mol1031_config_out1.pdbqt	-6.9
mol10320_config_out1.pdbqt	-10.0
mol10321_config_out1.pdbqt	-8.9
mol10322_config_out1.pdbqt	-9.7
mol10323_config_out1.pdbqt	-10.6
mol10324_config_out1.pdbqt	-7.9
mol10325_config_out1.pdbqt	-9.9
mol10326_config_out1.pdbqt	-9.1
mol10327_config_out1.pdbqt	-10.9
mol10328_config_out1.pdbqt	-10.1
mol10329_config_out1.pdbqt	-11.0
mol1032_config_out1.pdbqt	-10.4
mol10330_config_out1.pdbqt	-9.5
mol10331_config_out1.pdbqt	-8.8
mol10332_config_out1.pdbqt	-8.8
mol10333_config_out1.pdbqt	-9.7
mol10334_config_out1.pdbqt	-8.1
mol10335_config_out1.pdbqt	-9.9
mol10336_config_out1.pdbqt	-9.6
mol10337_config_out1.pdbqt	-10.1
mol10338_config_out1.pdbqt	-7.9
mol10339_config_out1.pdbqt	-7.5
mol1033_config_out1.pdbqt	-8.1
mol10340_config_out1.pdbqt	-10.1
mol10341_config_out1.pdbqt	-9.5
mol10342_config_out1.pdbqt	-8.9
mol10343_config_out1.pdbqt	-9.2
mol10344_config_out1.pdbqt	-7.9
mol10345_config_out1.pdbqt	-10.4
mol10346_config_out1.pdbqt	-9.9
mol10347_config_out1.pdbqt	-8.4
mol10348_config_out1.pdbqt	-9.1
mol10349_config_out1.pdbqt	-10.6
mol1034_config_out1.pdbqt	-8.6
mol10350_config_out1.pdbqt	-10.7
mol10351_config_out1.pdbqt	-6.0
mol10352_config_out1.pdbqt	-9.8
mol10353_config_out1.pdbqt	-9.1
mol10354_config_out1.pdbqt	-10.6
mol10355_config_out1.pdbqt	-11.0
mol10356_config_out1.pdbqt	-10.9
mol10357_config_out1.pdbqt	-9.1
mol10358_config_out1.pdbqt	-9.5
mol10359_config_out1.pdbqt	-8.8
mol1035_config_out1.pdbqt	-10.2
mol10360_config_out1.pdbqt	-9.3
mol10361_config_out1.pdbqt	-7.8
mol10362_config_out1.pdbqt	-10.7
mol10363_config_out1.pdbqt	-10.5
mol10364_config_out1.pdbqt	-8.7
mol10365_config_out1.pdbqt	-9.3
mol10366_config_out1.pdbqt	-7.7
mol10367_config_out1.pdbqt	-11.0
mol10368_config_out1.pdbqt	-8.6
mol10369_config_out1.pdbqt	-7.9
mol1036_config_out1.pdbqt	-9.5
mol10370_config_out1.pdbqt	-9.1
mol10371_config_out1.pdbqt	-11.1
mol10372_config_out1.pdbqt	-9.0
mol10373_config_out1.pdbqt	-9.9
mol10374_config_out1.pdbqt	-10.4
mol10375_config_out1.pdbqt	-7.1
mol10376_config_out1.pdbqt	-9.6
mol10377_config_out1.pdbqt	-8.7
mol10378_config_out1.pdbqt	-9.7
mol10379_config_out1.pdbqt	-9.4
mol1037_config_out1.pdbqt	-9.9
mol10380_config_out1.pdbqt	-10.2
mol10381_config_out1.pdbqt	-7.4
mol10382_config_out1.pdbqt	-10.7
mol10383_config_out1.pdbqt	-10.5
mol10384_config_out1.pdbqt	-10.4
mol10385_config_out1.pdbqt	-9.7
mol10386_config_out1.pdbqt	-8.1
mol10387_config_out1.pdbqt	-9.4
mol10388_config_out1.pdbqt	-9.9
mol10389_config_out1.pdbqt	-10.6
mol1038_config_out1.pdbqt	-4.7
mol10390_config_out1.pdbqt	-9.4
mol10391_config_out1.pdbqt	-7.9
mol10392_config_out1.pdbqt	-10.0
mol10393_config_out1.pdbqt	-9.5
mol10394_config_out1.pdbqt	-9.1
mol10395_config_out1.pdbqt	-11.9
mol10396_config_out1.pdbqt	-9.5
mol10397_config_out1.pdbqt	-11.2
mol10398_config_out1.pdbqt	-9.8
mol10399_config_out1.pdbqt	-9.5
mol1039_config_out1.pdbqt	-9.4
mol103_config_out1.pdbqt	-9.2
mol10400_config_out1.pdbqt	-8.3
mol10401_config_out1.pdbqt	-10.8
mol10402_config_out1.pdbqt	-9.5
mol10403_config_out1.pdbqt	-10.0
mol10404_config_out1.pdbqt	-11.2
mol10405_config_out1.pdbqt	-12.0
mol10406_config_out1.pdbqt	-8.1
mol10407_config_out1.pdbqt	-7.0
mol10408_config_out1.pdbqt	-9.3
mol10409_config_out1.pdbqt	-9.8
mol1040_config_out1.pdbqt	-8.8
mol10410_config_out1.pdbqt	-8.9
mol10411_config_out1.pdbqt	-9.7
mol10412_config_out1.pdbqt	-8.8
mol10413_config_out1.pdbqt	-8.3
mol10414_config_out1.pdbqt	-9.6
mol10415_config_out1.pdbqt	-10.0
mol10416_config_out1.pdbqt	-8.8
mol10417_config_out1.pdbqt	-8.0
mol10418_config_out1.pdbqt	-9.8
mol10419_config_out1.pdbqt	-8.6
mol1041_config_out1.pdbqt	-7.8
mol10420_config_out1.pdbqt	-8.2
mol10421_config_out1.pdbqt	-9.4
mol10422_config_out1.pdbqt	-9.9
mol10423_config_out1.pdbqt	-10.4
mol10424_config_out1.pdbqt	-9.9
mol10425_config_out1.pdbqt	-9.9
mol10426_config_out1.pdbqt	-8.9
mol10427_config_out1.pdbqt	-10.9
mol10428_config_out1.pdbqt	-7.8
mol10429_config_out1.pdbqt	-9.3
mol1042_config_out1.pdbqt	-8.9
mol10430_config_out1.pdbqt	-10.2
mol10431_config_out1.pdbqt	-8.9
mol10432_config_out1.pdbqt	-10.4
mol10433_config_out1.pdbqt	-11.6
mol10434_config_out1.pdbqt	-10.9
mol10435_config_out1.pdbqt	-9.5
mol10436_config_out1.pdbqt	-10.1
mol10437_config_out1.pdbqt	-6.9
mol10438_config_out1.pdbqt	-8.5
mol10439_config_out1.pdbqt	-9.6
mol1043_config_out1.pdbqt	-9.9
mol10440_config_out1.pdbqt	-9.3
mol10441_config_out1.pdbqt	-9.6
mol10442_config_out1.pdbqt	-11.3
mol10443_config_out1.pdbqt	-10.4
mol10444_config_out1.pdbqt	-9.1
mol10445_config_out1.pdbqt	-9.5
mol10446_config_out1.pdbqt	-8.1
mol10447_config_out1.pdbqt	-9.6
mol10448_config_out1.pdbqt	-10.5
mol10449_config_out1.pdbqt	-9.9
mol1044_config_out1.pdbqt	-9.7
mol10450_config_out1.pdbqt	-9.7
mol10451_config_out1.pdbqt	-9.5
mol10452_config_out1.pdbqt	-7.6
mol10453_config_out1.pdbqt	-10.7
mol10454_config_out1.pdbqt	-9.4
mol10455_config_out1.pdbqt	-8.3
mol10456_config_out1.pdbqt	-7.2
mol10457_config_out1.pdbqt	-9.6
mol10458_config_out1.pdbqt	-9.7
mol10459_config_out1.pdbqt	-10.4
mol1045_config_out1.pdbqt	-8.5
mol10460_config_out1.pdbqt	-12.0
mol10461_config_out1.pdbqt	-7.5
mol10462_config_out1.pdbqt	-9.5
mol10463_config_out1.pdbqt	-8.2
mol10464_config_out1.pdbqt	-7.3
mol10465_config_out1.pdbqt	-10.7
mol10466_config_out1.pdbqt	-10.8
mol10467_config_out1.pdbqt	-7.6
mol10468_config_out1.pdbqt	-9.8
mol10469_config_out1.pdbqt	-8.7
mol1046_config_out1.pdbqt	-8.3
mol10470_config_out1.pdbqt	-6.7
mol10471_config_out1.pdbqt	-7.9
mol10472_config_out1.pdbqt	-9.9
mol10473_config_out1.pdbqt	-11.3
mol10474_config_out1.pdbqt	-10.0
mol10475_config_out1.pdbqt	-10.0
mol10476_config_out1.pdbqt	-7.7
mol10477_config_out1.pdbqt	-10.4
mol10478_config_out1.pdbqt	-7.0
mol10479_config_out1.pdbqt	-10.0
mol1047_config_out1.pdbqt	-8.5
mol10480_config_out1.pdbqt	-10.0
mol10481_config_out1.pdbqt	-8.6
mol10482_config_out1.pdbqt	-8.8
mol10483_config_out1.pdbqt	-9.3
mol10484_config_out1.pdbqt	-9.2
mol10485_config_out1.pdbqt	-9.5
mol10486_config_out1.pdbqt	-8.7
mol10487_config_out1.pdbqt	-9.2
mol10488_config_out1.pdbqt	-9.1
mol10489_config_out1.pdbqt	-9.8
mol1048_config_out1.pdbqt	-9.0
mol10490_config_out1.pdbqt	-7.7
mol10491_config_out1.pdbqt	-9.8
mol10492_config_out1.pdbqt	-9.8
mol10493_config_out1.pdbqt	-11.0
mol10494_config_out1.pdbqt	-6.6
mol10495_config_out1.pdbqt	-10.2
mol10496_config_out1.pdbqt	-10.4
mol10497_config_out1.pdbqt	-9.4
mol10498_config_out1.pdbqt	-10.2
mol10499_config_out1.pdbqt	-9.8
mol1049_config_out1.pdbqt	-10.3
mol104_config_out1.pdbqt	-8.9
mol10500_config_out1.pdbqt	-8.2
mol10501_config_out1.pdbqt	-11.3
mol10502_config_out1.pdbqt	-10.4
